ms	gs	fb	wmt	xom	msft	nke
36.37	187.65	76.51	86.34	90.6	42.38	91.31
36.16	184.56	75.19	87.29	91.01	42.6	92.75
35.63	182.22	74.44	85.91	91.56	42.36	91.17
35.79	183.43	74.47	87.33	91.5	42.41	91.79
34.93	180.77	75.62	87.28	92.36	42.45	93.34
34.77	178.78	75.63	86.65	91.46	41.84	92.54
35.04	180.24	75.4	86.19	92.25	41.6	93.35
34.42	175.49	74.99	85.71	89.58	41.28	91.92
33.81	172.41	75.91	84.98	87.42	40.4	92.25
34.37	175.99	78	87.72	87.58	42.01	94.87
33.77	173.05	76.24	86.82	87.95	41.19	93.31
34.66	176.49	75.78	87.53	90.95	42.66	94.5
35.11	180.42	77.5	88.63	91.76	47.01	96.35
35.15	180.49	77.83	88.51	90.89	47.18	96.16
35.53	182.04	77.65	88.3	92.87	47.13	95.85
34.73	177.15	76.74	86.64	91.87	45.92	93.51
34.75	175.63	76.24	86.69	91.09	46.39	93.61
34.89	177.23	75.18	86.77	91.12	46.24	92.99
34.58	178.49	74.05	87.38	88.96	45.48	92.81
35.21	180.23	76.28	86.61	89.74	45.96	93.71
36.03	184.93	76.45	89.31	90	46.36	95.01
36.37	185.07	76.72	90.02	90.33	46.6	95.86
36.88	187.35	77.74	89.35	92.1	47.19	95.99
37.49	190.27	78.18	90.47	92.23	47.59	97.06
36.94	187.28	76.15	88.6	90.72	46.23	94.87
36.42	184.53	76.15	86.31	89.81	45.65	92.95
37.5	188.34	77.19	85.65	90.29	46.32	93.5
38.71	194.41	78.45	85.9	92.83	46.76	95.03
38.8	193.83	78.02	85.88	92.45	46.45	96.15
39	195.71	79.22	86.79	93.02	47.02	96.88
38.96	196.19	80.02	86.64	93.07	47.45	97.3
38.72	195.45	80.78	86.91	93.21	47.88	96.83
38.81	195.89	80.77	86.43	93.78	48.14	96.29
38.95	195.5	80.61	86.66	94.59	48.45	95.97
38.57	194.44	81.45	86.38	93.33	47.98	95.93
38.51	193.28	79.88	85.16	93.64	47.66	94.84
38.1	191.61	78.4	85.94	91.16	47.52	97.08
36.73	185.03	76.11	84.23	89.02	45.74	94.5
35.52	183.31	74.69	82.96	86.41	45.16	93.21
35.93	185.54	76.99	83.94	86.9	46.67	95.43
36.25	188.82	77.83	83.81	86.6	46.95	96.17
37.4	193.54	77.73	83.83	89.2	47.17	96.93
37.39	192	76.18	82.98	88.67	46.9	97.66
38.1	196.89	76.84	83.56	91.38	47.59	97.03
38	196.62	76.52	84.23	91.7	47.7	97.72
37.24	195.45	76.36	84.12	93.82	48.42	99.33
36.79	191.95	75.24	84.76	94.37	48.84	99.05
36.52	190.95	74.88	84.94	94.95	48.08	98.5
35.77	190.19	75.46	86.4	94.19	48.46	98.04
35.1	188.2	75.1	86.22	92.35	48.62	97.69
35.18	188.41	77.7	87.54	90.54	47.81	99.29
35.12	188.52	77.62	84.98	94.48	47.75	97.8
35.3	188.86	75.63	84.95	94.78	47.47	97.29
35.62	190.07	74.01	85.4	95.72	47.59	97.95
35.53	189.59	73.75	84.65	96.81	47.98	97.42
35.39	189.75	73.6	84.58	95.82	48.7	97.3
